"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 23 16:40:15 CEST 2024","Tue Apr 23 16:40:20 CEST 2024","5555","","Login page of OrangeHRM","","Login page of OrangeHRM","Login to OrangeCRM demo website","Login to OrangeCRM demo website",""
"broken","Tue Apr 23 15:29:04 CEST 2024","Tue Apr 23 15:29:04 CEST 2024","158","","","","","An uncaught error was detected outside of a test","An uncaught error was detected outside of a test",""
